client_id,gendr,clnt_age,logons_6_mnth,clnt_tenure_yr,clnt_tenure_mnth,num_accts,bal,calls_6_mnth
7967415,U,30.5,8,7,91,3,50580.8,5
7967581,F,57.5,5,28,338,2,139478.58000000002,2
7967678,U,57.5,5,5,70,2,43363.89,1
7967787,U,22.5,4,3,37,2,26688.62,1
7967889,U,25.5,8,5,67,2,77671.58,5
7967929,M,55.0,3,16,195,2,235539.9,0
7967944,F,63.5,3,22,272,2,30813.59,0
7968399,M,45.0,8,8,106,3,165246.32,5
7968493,F,65.0,8,15,183,2,61320.53,5
7968592,U,25.5,9,9,119,2,43993.22,6
7968614,M,41.0,5,9,110,2,63998.27,2
7968911,F,56.0,9,12,148,2,217520.5,6
7968918,U,27.5,3,6,82,2,30820.14,0
7968924,U,52.0,7,6,83,2,27231.02,4
7968992,U,27.0,9,6,74,3,52901.03,6
7970330,M,58.0,7,11,142,2,82595.76,4
7970370,U,68.0,5,6,74,2,131936.14,2
7970922,M,56.5,6,13,156,2,64421.68,3
7971052,M,43.0,5,14,171,2,28550.59,2
7971129,M,60.5,6,15,190,2,75878.23999999999,3
7971336,F,60.5,6,14,179,2,56740.63,3
7971470,M,36.5,6,11,142,3,41989.3,3
7972615,M,52.0,5,23,277,2,61396.93,2
7972724,U,22.5,9,6,73,2,29369.47,6
7972813,F,67.0,3,12,149,2,169305.09000000003,0
7972854,U,36.0,8,6,80,3,65002.97,5
7972963,F,57.5,5,10,128,2,71486.4,2
7973780,M,73.0,9,28,339,3,171452.11,6
7974036,U,25.5,6,4,58,2,54468.07,3
7974180,U,27.0,8,5,60,3,32345.7,5
7974545,M,20.5,9,4,53,2,83973.5,6
7974547,U,43.0,4,14,172,2,58098.59,1
7974590,F,67.0,9,6,76,2,333010.83,6
7974599,M,64.5,6,10,127,2,28891.6,3
7975145,U,84.5,8,7,91,2,74839.33,5
7975433,F,30.0,4,8,104,2,72316.59,1
7975628,M,64.0,3,15,190,2,90892.98,0
7975844,U,29.5,6,5,70,2,58377.9,3
7975904,M,36.5,4,23,277,2,29893.37,1
7976030,U,31.5,4,9,112,3,83474.23999999999,1
7976241,F,35.5,3,10,129,2,35455.7,0
7976343,M,33.0,4,15,181,2,61761.56,1
7976346,F,36.0,9,9,109,2,137866.82,6
7976421,F,42.0,8,22,266,4,163513.18,5
7976518,F,66.0,9,22,273,3,676550.11,6
7976637,F,34.0,3,15,189,2,49295.64,0
7977061,M,55.5,8,11,138,2,174486.28999999998,5
7977329,U,47.0,3,6,73,2,31089.95,0
7977345,M,33.5,6,12,152,2,123162.33,3
